trip_id,trip_date,line,stop_id,stop_name,update_time,arrival_time,departure_time
071550_1..S03R,20230330,1,138S,WTC Cortlandt,2023-03-30 12:51:17.970653,2023-03-30 12:51:34,2023-03-30 12:51:34
071550_1..S03R,20230330,1,139S,Rector St,2023-03-30 12:51:17.970653,2023-03-30 12:53:04,2023-03-30 12:53:04
071550_1..S03R,20230330,1,142S,South Ferry,2023-03-30 12:51:17.970653,2023-03-30 12:54:34,
071750_1..N03R,20230330,1,101N,Van Cortlandt Park-242 St,2023-03-30 12:51:17.970653,2023-03-30 12:52:30,
072150_1..S03R,20230330,1,134S,Houston St,2023-03-30 12:51:17.970653,2023-03-30 12:52:33,2023-03-30 12:52:33
072150_1..S03R,20230330,1,135S,Canal St,2023-03-30 12:51:17.970653,2023-03-30 12:54:03,2023-03-30 12:54:03
072150_1..S03R,20230330,1,136S,Franklin St,2023-03-30 12:51:17.970653,2023-03-30 12:55:03,2023-03-30 12:55:03
072150_1..S03R,20230330,1,137S,Chambers St,2023-03-30 12:51:17.970653,2023-03-30 12:56:33,2023-03-30 12:56:33
072150_1..S03R,20230330,1,138S,WTC Cortlandt,2023-03-30 12:51:17.970653,2023-03-30 12:57:33,2023-03-30 12:57:33
072150_1..S03R,20230330,1,139S,Rector St,2023-03-30 12:51:17.970653,2023-03-30 12:59:03,2023-03-30 12:59:03
072150_1..S03R,20230330,1,142S,South Ferry,2023-03-30 12:51:17.970653,2023-03-30 13:00:33,
072350_1..N03R,20230330,1,107N,215 St,2023-03-30 12:51:17.970653,2023-03-30 12:52:18,2023-03-30 12:52:18
072350_1..N03R,20230330,1,106N,Marble Hill-225 St,2023-03-30 12:51:17.970653,2023-03-30 12:53:48,2023-03-30 12:53:48
072350_1..N03R,20230330,1,104N,231 St,2023-03-30 12:51:17.970653,2023-03-30 12:55:18,2023-03-30 12:55:18
072350_1..N03R,20230330,1,103N,238 St,2023-03-30 12:51:17.970653,2023-03-30 12:56:48,2023-03-30 12:59:18
072350_1..N03R,20230330,1,101N,Van Cortlandt Park-242 St,2023-03-30 12:51:17.970653,2023-03-30 13:00:48,
072750_1..S03R,20230330,1,130S,23 St,2023-03-30 12:51:17.970653,2023-03-30 12:51:32,2023-03-30 12:51:32
072750_1..S03R,20230330,1,131S,18 St,2023-03-30 12:51:17.970653,2023-03-30 12:52:32,2023-03-30 12:52:32
