trip_id,trip_date,line,stop_id,stop_name,update_time,arrival_time,departure_time
073950_1..S03R,20230330,1,137S,Chambers St,2023-03-30 13:14:24.494670,2023-03-30 13:12:05,2023-03-30 13:12:05
073950_1..S03R,20230330,1,138S,WTC Cortlandt,2023-03-30 13:14:24.494670,2023-03-30 13:13:05,2023-03-30 13:13:05
073950_1..S03R,20230330,1,139S,Rector St,2023-03-30 13:14:24.494670,2023-03-30 13:14:35,2023-03-30 13:14:35
073950_1..S03R,20230330,1,142S,South Ferry,2023-03-30 13:14:24.494670,2023-03-30 13:16:05,
074150_1..N03R,20230330,1,108N,207 St,2023-03-30 13:14:24.494670,2023-03-30 13:14:54,2023-03-30 13:14:54
074150_1..N03R,20230330,1,107N,215 St,2023-03-30 13:14:24.494670,2023-03-30 13:16:24,2023-03-30 13:16:24
074150_1..N03R,20230330,1,106N,Marble Hill-225 St,2023-03-30 13:14:24.494670,2023-03-30 13:17:54,2023-03-30 13:17:54
074150_1..N03R,20230330,1,104N,231 St,2023-03-30 13:14:24.494670,2023-03-30 13:19:24,2023-03-30 13:19:24
074150_1..N03R,20230330,1,103N,238 St,2023-03-30 13:14:24.494670,2023-03-30 13:20:54,2023-03-30 13:23:24
074150_1..N03R,20230330,1,101N,Van Cortlandt Park-242 St,2023-03-30 13:14:24.494670,2023-03-30 13:24:54,
074550_1..S03R,20230330,1,131S,18 St,2023-03-30 13:14:24.494670,2023-03-30 13:15:19,2023-03-30 13:15:19
074550_1..S03R,20230330,1,132S,14 St,2023-03-30 13:14:24.494670,2023-03-30 13:16:19,2023-03-30 13:16:19
074550_1..S03R,20230330,1,133S,Christopher St-Sheridan Sq,2023-03-30 13:14:24.494670,2023-03-30 13:17:49,2023-03-30 13:17:49
074550_1..S03R,20230330,1,134S,Houston St,2023-03-30 13:14:24.494670,2023-03-30 13:19:19,2023-03-30 13:19:19
074550_1..S03R,20230330,1,135S,Canal St,2023-03-30 13:14:24.494670,2023-03-30 13:20:49,2023-03-30 13:20:49
