trip_id,trip_date,line,stop_id,stop_name,update_time,arrival_time,departure_time
072750_1..S03R,20230330,1,138S,WTC Cortlandt,2023-03-30 13:02:21.171399,2023-03-30 13:02:06,2023-03-30 13:02:06
072750_1..S03R,20230330,1,139S,Rector St,2023-03-30 13:02:21.171399,2023-03-30 13:03:36,2023-03-30 13:03:36
072750_1..S03R,20230330,1,142S,South Ferry,2023-03-30 13:02:21.171399,2023-03-30 13:05:06,
072950_1..N03R,20230330,1,103N,238 St,2023-03-30 13:02:21.171399,2023-03-30 13:02:13,2023-03-30 13:04:43
072950_1..N03R,20230330,1,101N,Van Cortlandt Park-242 St,2023-03-30 13:02:21.171399,2023-03-30 13:06:13,
073350_1..S03R,20230330,1,134S,Houston St,2023-03-30 13:02:21.171399,2023-03-30 13:02:46,2023-03-30 13:02:46
073350_1..S03R,20230330,1,135S,Canal St,2023-03-30 13:02:21.171399,2023-03-30 13:04:16,2023-03-30 13:04:16
073350_1..S03R,20230330,1,136S,Franklin St,2023-03-30 13:02:21.171399,2023-03-30 13:05:16,2023-03-30 13:05:16
073350_1..S03R,20230330,1,137S,Chambers St,2023-03-30 13:02:21.171399,2023-03-30 13:06:46,2023-03-30 13:06:46
073350_1..S03R,20230330,1,138S,WTC Cortlandt,2023-03-30 13:02:21.171399,2023-03-30 13:07:46,2023-03-30 13:07:46
073350_1..S03R,20230330,1,139S,Rector St,2023-03-30 13:02:21.171399,2023-03-30 13:09:16,2023-03-30 13:09:16
073350_1..S03R,20230330,1,142S,South Ferry,2023-03-30 13:02:21.171399,2023-03-30 13:10:46,
073550_1..N03R,20230330,1,108N,207 St,2023-03-30 13:02:21.171399,2023-03-30 13:01:57,2023-03-30 13:01:57
073550_1..N03R,20230330,1,107N,215 St,2023-03-30 13:02:21.171399,2023-03-30 13:03:27,2023-03-30 13:03:27
073550_1..N03R,20230330,1,106N,Marble Hill-225 St,2023-03-30 13:02:21.171399,2023-03-30 13:04:57,2023-03-30 13:04:57
073550_1..N03R,20230330,1,104N,231 St,2023-03-30 13:02:21.171399,2023-03-30 13:06:27,2023-03-30 13:06:27
073550_1..N03R,20230330,1,103N,238 St,2023-03-30 13:02:21.171399,2023-03-30 13:07:57,2023-03-30 13:10:27
073550_1..N03R,20230330,1,101N,Van Cortlandt Park-242 St,2023-03-30 13:02:21.171399,2023-03-30 13:11:57,
073950_1..S03R,20230330,1,129S,28 St,2023-03-30 13:02:21.171399,2023-03-30 13:02:22,2023-03-30 13:02:22
073950_1..S03R,20230330,1,130S,23 St,2023-03-30 13:02:21.171399,2023-03-30 13:03:22,2023-03-30 13:03:22
073950_1..S03R,20230330,1,131S,18 St,2023-03-30 13:02:21.171399,2023-03-30 13:04:22,2023-03-30 13:04:22
073950_1..S03R,20230330,1,132S,14 St,2023-03-30 13:02:21.171399,2023-03-30 13:05:22,2023-03-30 13:05:22
073950_1..S03R,20230330,1,133S,Christopher St-Sheridan Sq,2023-03-30 13:02:21.171399,2023-03-30 13:06:52,2023-03-30 13:06:52
073950_1..S03R,20230330,1,134S,Houston St,2023-03-30 13:02:21.171399,2023-03-30 13:08:22,2023-03-30 13:08:22
073950_1..S03R,20230330,1,135S,Canal St,2023-03-30 13:02:21.171399,2023-03-30 13:09:52,2023-03-30 13:09:52
073950_1..S03R,20230330,1,136S,Franklin St,2023-03-30 13:02:21.171399,2023-03-30 13:10:52,2023-03-30 13:10:52
073950_1..S03R,20230330,1,137S,Chambers St,2023-03-30 13:02:21.171399,2023-03-30 13:12:22,2023-03-30 13:12:22
073950_1..S03R,20230330,1,138S,WTC Cortlandt,2023-03-30 13:02:21.171399,2023-03-30 13:13:22,2023-03-30 13:13:22
073950_1..S03R,20230330,1,139S,Rector St,2023-03-30 13:02:21.171399,2023-03-30 13:14:52,2023-03-30 13:14:52
073950_1..S03R,20230330,1,142S,South Ferry,2023-03-30 13:02:21.171399,2023-03-30 13:16:22,
074150_1..N03R,20230330,1,114N,145 St,2023-03-30 13:02:21.171399,2023-03-30 13:02:59,2023-03-30 13:02:59
074150_1..N03R,20230330,1,113N,157 St,2023-03-30 13:02:21.171399,2023-03-30 13:04:59,2023-03-30 13:04:59
074150_1..N03R,20230330,1,112N,168 St-Washington Hts,2023-03-30 13:02:21.171399,2023-03-30 13:06:29,2023-03-30 13:06:29
074150_1..N03R,20230330,1,111N,181 St,2023-03-30 13:02:21.171399,2023-03-30 13:08:29,2023-03-30 13:08:29
074150_1..N03R,20230330,1,110N,191 St,2023-03-30 13:02:21.171399,2023-03-30 13:09:59,2023-03-30 13:09:59
074150_1..N03R,20230330,1,109N,Dyckman St,2023-03-30 13:02:21.171399,2023-03-30 13:10:59,2023-03-30 13:10:59
074150_1..N03R,20230330,1,108N,207 St,2023-03-30 13:02:21.171399,2023-03-30 13:12:29,2023-03-30 13:12:29
074150_1..N03R,20230330,1,107N,215 St,2023-03-30 13:02:21.171399,2023-03-30 13:13:59,2023-03-30 13:13:59
074150_1..N03R,20230330,1,106N,Marble Hill-225 St,2023-03-30 13:02:21.171399,2023-03-30 13:15:29,2023-03-30 13:15:29
074150_1..N03R,20230330,1,104N,231 St,2023-03-30 13:02:21.171399,2023-03-30 13:16:59,2023-03-30 13:16:59
074150_1..N03R,20230330,1,103N,238 St,2023-03-30 13:02:21.171399,2023-03-30 13:18:29,2023-03-30 13:20:59
074150_1..N03R,20230330,1,101N,Van Cortlandt Park-242 St,2023-03-30 13:02:21.171399,2023-03-30 13:22:29,
074550_1..S03R,20230330,1,123S,72 St,2023-03-30 13:02:21.171399,2023-03-30 13:02:33,2023-03-30 13:02:33
074550_1..S03R,20230330,1,124S,66 St-Lincoln Center,2023-03-30 13:02:21.171399,2023-03-30 13:04:03,2023-03-30 13:04:03
074550_1..S03R,20230330,1,125S,59 St-Columbus Circle,2023-03-30 13:02:21.171399,2023-03-30 13:05:33,2023-03-30 13:05:33
074550_1..S03R,20230330,1,126S,50 St,2023-03-30 13:02:21.171399,2023-03-30 13:07:33,2023-03-30 13:07:33
074550_1..S03R,20230330,1,127S,Times Sq-42 St,2023-03-30 13:02:21.171399,2023-03-30 13:09:03,2023-03-30 13:09:03
074550_1..S03R,20230330,1,128S,34 St-Penn Station,2023-03-30 13:02:21.171399,2023-03-30 13:10:33,2023-03-30 13:10:33
074550_1..S03R,20230330,1,129S,28 St,2023-03-30 13:02:21.171399,2023-03-30 13:12:03,2023-03-30 13:12:03
074550_1..S03R,20230330,1,130S,23 St,2023-03-30 13:02:21.171399,2023-03-30 13:13:03,2023-03-30 13:13:03
074550_1..S03R,20230330,1,131S,18 St,2023-03-30 13:02:21.171399,2023-03-30 13:14:03,2023-03-30 13:14:03
074550_1..S03R,20230330,1,132S,14 St,2023-03-30 13:02:21.171399,2023-03-30 13:15:03,2023-03-30 13:15:03
074550_1..S03R,20230330,1,133S,Christopher St-Sheridan Sq,2023-03-30 13:02:21.171399,2023-03-30 13:16:33,2023-03-30 13:16:33
074550_1..S03R,20230330,1,134S,Houston St,2023-03-30 13:02:21.171399,2023-03-30 13:18:03,2023-03-30 13:18:03
074550_1..S03R,20230330,1,135S,Canal St,2023-03-30 13:02:21.171399,2023-03-30 13:19:33,2023-03-30 13:19:33
074550_1..S03R,20230330,1,136S,Franklin St,2023-03-30 13:02:21.171399,2023-03-30 13:20:33,2023-03-30 13:20:33
074550_1..S03R,20230330,1,137S,Chambers St,2023-03-30 13:02:21.171399,2023-03-30 13:22:03,2023-03-30 13:22:03
074550_1..S03R,20230330,1,138S,WTC Cortlandt,2023-03-30 13:02:21.171399,2023-03-30 13:23:03,2023-03-30 13:23:03
074550_1..S03R,20230330,1,139S,Rector St,2023-03-30 13:02:21.171399,2023-03-30 13:24:33,2023-03-30 13:24:33
074550_1..S03R,20230330,1,142S,South Ferry,2023-03-30 13:02:21.171399,2023-03-30 13:26:03,
074750_1..N03R,20230330,1,115N,137 St-City College,2023-03-30 13:02:21.171399,2023-03-30 13:02:54,2023-03-30 13:02:54
074750_1..N03R,20230330,1,114N,145 St,2023-03-30 13:02:21.171399,2023-03-30 13:04:24,2023-03-30 13:04:24
074750_1..N03R,20230330,1,113N,157 St,2023-03-30 13:02:21.171399,2023-03-30 13:06:24,2023-03-30 13:06:24
074750_1..N03R,20230330,1,112N,168 St-Washington Hts,2023-03-30 13:02:21.171399,2023-03-30 13:07:54,2023-03-30 13:07:54
