trip_id,trip_date,line,stop_id,stop_name,update_time,arrival_time,departure_time
079350_1..S03R,20230330,1,138S,WTC Cortlandt,2023-03-30 14:07:39.218199,2023-03-30 14:08:21,2023-03-30 14:08:21
079350_1..S03R,20230330,1,139S,Rector St,2023-03-30 14:07:39.218199,2023-03-30 14:09:51,2023-03-30 14:09:51
079350_1..S03R,20230330,1,142S,South Ferry,2023-03-30 14:07:39.218199,2023-03-30 14:11:21,
079550_1..N03R,20230330,1,106N,Marble Hill-225 St,2023-03-30 14:07:39.218199,2023-03-30 14:07:08,2023-03-30 14:07:08
079550_1..N03R,20230330,1,104N,231 St,2023-03-30 14:07:39.218199,2023-03-30 14:08:38,2023-03-30 14:08:38
079550_1..N03R,20230330,1,103N,238 St,2023-03-30 14:07:39.218199,2023-03-30 14:10:08,2023-03-30 14:12:38
079550_1..N03R,20230330,1,101N,Van Cortlandt Park-242 St,2023-03-30 14:07:39.218199,2023-03-30 14:14:08,
079950_1..S03R,20230330,1,134S,Houston St,2023-03-30 14:07:39.218199,2023-03-30 14:08:24,2023-03-30 14:08:24
079950_1..S03R,20230330,1,135S,Canal St,2023-03-30 14:07:39.218199,2023-03-30 14:09:54,2023-03-30 14:09:54
079950_1..S03R,20230330,1,136S,Franklin St,2023-03-30 14:07:39.218199,2023-03-30 14:10:54,2023-03-30 14:10:54
079950_1..S03R,20230330,1,137S,Chambers St,2023-03-30 14:07:39.218199,2023-03-30 14:12:24,2023-03-30 14:12:24
079950_1..S03R,20230330,1,138S,WTC Cortlandt,2023-03-30 14:07:39.218199,2023-03-30 14:13:24,2023-03-30 14:13:24
079950_1..S03R,20230330,1,139S,Rector St,2023-03-30 14:07:39.218199,2023-03-30 14:14:54,2023-03-30 14:14:54
079950_1..S03R,20230330,1,142S,South Ferry,2023-03-30 14:07:39.218199,2023-03-30 14:16:24,
080150_1..N03R,20230330,1,109N,Dyckman St,2023-03-30 14:07:39.218199,2023-03-30 14:07:29,2023-03-30 14:07:29
080150_1..N03R,20230330,1,108N,207 St,2023-03-30 14:07:39.218199,2023-03-30 14:08:59,2023-03-30 14:08:59
080150_1..N03R,20230330,1,107N,215 St,2023-03-30 14:07:39.218199,2023-03-30 14:10:29,2023-03-30 14:10:29
080150_1..N03R,20230330,1,106N,Marble Hill-225 St,2023-03-30 14:07:39.218199,2023-03-30 14:11:59,2023-03-30 14:11:59
080150_1..N03R,20230330,1,104N,231 St,2023-03-30 14:07:39.218199,2023-03-30 14:13:29,2023-03-30 14:13:29
080150_1..N03R,20230330,1,103N,238 St,2023-03-30 14:07:39.218199,2023-03-30 14:14:59,2023-03-30 14:17:29
080150_1..N03R,20230330,1,101N,Van Cortlandt Park-242 St,2023-03-30 14:07:39.218199,2023-03-30 14:18:59,
080550_1..S03R,20230330,1,128S,34 St-Penn Station,2023-03-30 14:07:39.218199,2023-03-30 14:08:24,2023-03-30 14:08:24
080550_1..S03R,20230330,1,129S,28 St,2023-03-30 14:07:39.218199,2023-03-30 14:09:54,2023-03-30 14:09:54
080550_1..S03R,20230330,1,130S,23 St,2023-03-30 14:07:39.218199,2023-03-30 14:10:54,2023-03-30 14:10:54
080550_1..S03R,20230330,1,131S,18 St,2023-03-30 14:07:39.218199,2023-03-30 14:11:54,2023-03-30 14:11:54
080550_1..S03R,20230330,1,132S,14 St,2023-03-30 14:07:39.218199,2023-03-30 14:12:54,2023-03-30 14:12:54
080550_1..S03R,20230330,1,133S,Christopher St-Sheridan Sq,2023-03-30 14:07:39.218199,2023-03-30 14:14:24,2023-03-30 14:14:24
080550_1..S03R,20230330,1,134S,Houston St,2023-03-30 14:07:39.218199,2023-03-30 14:15:54,2023-03-30 14:15:54
080550_1..S03R,20230330,1,135S,Canal St,2023-03-30 14:07:39.218199,2023-03-30 14:17:24,2023-03-30 14:17:24
080550_1..S03R,20230330,1,136S,Franklin St,2023-03-30 14:07:39.218199,2023-03-30 14:18:24,2023-03-30 14:18:24
080550_1..S03R,20230330,1,137S,Chambers St,2023-03-30 14:07:39.218199,2023-03-30 14:19:54,2023-03-30 14:19:54
080550_1..S03R,20230330,1,138S,WTC Cortlandt,2023-03-30 14:07:39.218199,2023-03-30 14:20:54,2023-03-30 14:20:54
080550_1..S03R,20230330,1,139S,Rector St,2023-03-30 14:07:39.218199,2023-03-30 14:22:24,2023-03-30 14:22:24
080550_1..S03R,20230330,1,142S,South Ferry,2023-03-30 14:07:39.218199,2023-03-30 14:23:54,
080750_1..N03R,20230330,1,112N,168 St-Washington Hts,2023-03-30 14:07:39.218199,2023-03-30 14:07:56,2023-03-30 14:07:56
080750_1..N03R,20230330,1,111N,181 St,2023-03-30 14:07:39.218199,2023-03-30 14:09:56,2023-03-30 14:09:56
080750_1..N03R,20230330,1,110N,191 St,2023-03-30 14:07:39.218199,2023-03-30 14:11:26,2023-03-30 14:11:26
080750_1..N03R,20230330,1,109N,Dyckman St,2023-03-30 14:07:39.218199,2023-03-30 14:12:26,2023-03-30 14:12:26
080750_1..N03R,20230330,1,108N,207 St,2023-03-30 14:07:39.218199,2023-03-30 14:13:56,2023-03-30 14:13:56
080750_1..N03R,20230330,1,107N,215 St,2023-03-30 14:07:39.218199,2023-03-30 14:15:26,2023-03-30 14:15:26
080750_1..N03R,20230330,1,106N,Marble Hill-225 St,2023-03-30 14:07:39.218199,2023-03-30 14:16:56,2023-03-30 14:16:56
080750_1..N03R,20230330,1,104N,231 St,2023-03-30 14:07:39.218199,2023-03-30 14:18:26,2023-03-30 14:18:26
080750_1..N03R,20230330,1,103N,238 St,2023-03-30 14:07:39.218199,2023-03-30 14:19:56,2023-03-30 14:22:26
080750_1..N03R,20230330,1,101N,Van Cortlandt Park-242 St,2023-03-30 14:07:39.218199,2023-03-30 14:23:56,
081150_1..S03R,20230330,1,125S,59 St-Columbus Circle,2023-03-30 14:07:39.218199,2023-03-30 14:07:38,2023-03-30 14:07:38
081150_1..S03R,20230330,1,126S,50 St,2023-03-30 14:07:39.218199,2023-03-30 14:09:38,2023-03-30 14:09:38
