trip_id,trip_date,line,stop_id,stop_name,update_time,arrival_time,departure_time
071550_1..S03R,20230330,1,139S,Rector St,2023-03-30 12:52:18.294692,2023-03-30 12:53:18,2023-03-30 12:53:18
071550_1..S03R,20230330,1,142S,South Ferry,2023-03-30 12:52:18.294692,2023-03-30 12:54:48,
071750_1..N03R,20230330,1,101N,Van Cortlandt Park-242 St,2023-03-30 12:52:18.294692,2023-03-30 12:51:58,
072150_1..S03R,20230330,1,134S,Houston St,2023-03-30 12:52:18.294692,2023-03-30 12:52:10,2023-03-30 12:52:10
072150_1..S03R,20230330,1,135S,Canal St,2023-03-30 12:52:18.294692,2023-03-30 12:53:40,2023-03-30 12:53:40
072150_1..S03R,20230330,1,136S,Franklin St,2023-03-30 12:52:18.294692,2023-03-30 12:54:40,2023-03-30 12:54:40
072150_1..S03R,20230330,1,137S,Chambers St,2023-03-30 12:52:18.294692,2023-03-30 12:56:10,2023-03-30 12:56:10
072150_1..S03R,20230330,1,138S,WTC Cortlandt,2023-03-30 12:52:18.294692,2023-03-30 12:57:10,2023-03-30 12:57:10
072150_1..S03R,20230330,1,139S,Rector St,2023-03-30 12:52:18.294692,2023-03-30 12:58:40,2023-03-30 12:58:40
072150_1..S03R,20230330,1,142S,South Ferry,2023-03-30 12:52:18.294692,2023-03-30 13:00:10,
072350_1..N03R,20230330,1,107N,215 St,2023-03-30 12:52:18.294692,2023-03-30 12:52:27,2023-03-30 12:52:27
072350_1..N03R,20230330,1,106N,Marble Hill-225 St,2023-03-30 12:52:18.294692,2023-03-30 12:53:57,2023-03-30 12:53:57
072350_1..N03R,20230330,1,104N,231 St,2023-03-30 12:52:18.294692,2023-03-30 12:55:27,2023-03-30 12:55:27
072350_1..N03R,20230330,1,103N,238 St,2023-03-30 12:52:18.294692,2023-03-30 12:56:57,2023-03-30 12:59:27
072350_1..N03R,20230330,1,101N,Van Cortlandt Park-242 St,2023-03-30 12:52:18.294692,2023-03-30 13:00:57,
072750_1..S03R,20230330,1,131S,18 St,2023-03-30 12:52:18.294692,2023-03-30 12:52:33,2023-03-30 12:52:33
072750_1..S03R,20230330,1,132S,14 St,2023-03-30 12:52:18.294692,2023-03-30 12:53:33,2023-03-30 12:53:33
072750_1..S03R,20230330,1,133S,Christopher St-Sheridan Sq,2023-03-30 12:52:18.294692,2023-03-30 12:55:03,2023-03-30 12:55:03
072750_1..S03R,20230330,1,134S,Houston St,2023-03-30 12:52:18.294692,2023-03-30 12:56:33,2023-03-30 12:56:33
072750_1..S03R,20230330,1,135S,Canal St,2023-03-30 12:52:18.294692,2023-03-30 12:58:03,2023-03-30 12:58:03
072750_1..S03R,20230330,1,136S,Franklin St,2023-03-30 12:52:18.294692,2023-03-30 12:59:03,2023-03-30 12:59:03
072750_1..S03R,20230330,1,137S,Chambers St,2023-03-30 12:52:18.294692,2023-03-30 13:00:33,2023-03-30 13:00:33
072750_1..S03R,20230330,1,138S,WTC Cortlandt,2023-03-30 12:52:18.294692,2023-03-30 13:01:33,2023-03-30 13:01:33
072750_1..S03R,20230330,1,139S,Rector St,2023-03-30 12:52:18.294692,2023-03-30 13:03:03,2023-03-30 13:03:03
072750_1..S03R,20230330,1,142S,South Ferry,2023-03-30 12:52:18.294692,2023-03-30 13:04:33,
072950_1..N03R,20230330,1,110N,191 St,2023-03-30 12:52:18.294692,2023-03-30 12:52:13,2023-03-30 12:52:13
072950_1..N03R,20230330,1,109N,Dyckman St,2023-03-30 12:52:18.294692,2023-03-30 12:53:13,2023-03-30 12:53:13
072950_1..N03R,20230330,1,108N,207 St,2023-03-30 12:52:18.294692,2023-03-30 12:54:43,2023-03-30 12:54:43
072950_1..N03R,20230330,1,107N,215 St,2023-03-30 12:52:18.294692,2023-03-30 12:56:13,2023-03-30 12:56:13
072950_1..N03R,20230330,1,106N,Marble Hill-225 St,2023-03-30 12:52:18.294692,2023-03-30 12:57:43,2023-03-30 12:57:43
072950_1..N03R,20230330,1,104N,231 St,2023-03-30 12:52:18.294692,2023-03-30 12:59:13,2023-03-30 12:59:13
072950_1..N03R,20230330,1,103N,238 St,2023-03-30 12:52:18.294692,2023-03-30 13:00:43,2023-03-30 13:03:13
072950_1..N03R,20230330,1,101N,Van Cortlandt Park-242 St,2023-03-30 12:52:18.294692,2023-03-30 13:04:43,
073350_1..S03R,20230330,1,127S,Times Sq-42 St,2023-03-30 12:52:18.294692,2023-03-30 12:53:15,2023-03-30 12:53:15
073350_1..S03R,20230330,1,128S,34 St-Penn Station,2023-03-30 12:52:18.294692,2023-03-30 12:54:45,2023-03-30 12:54:45
073350_1..S03R,20230330,1,129S,28 St,2023-03-30 12:52:18.294692,2023-03-30 12:56:15,2023-03-30 12:56:15
073350_1..S03R,20230330,1,130S,23 St,2023-03-30 12:52:18.294692,2023-03-30 12:57:15,2023-03-30 12:57:15
073350_1..S03R,20230330,1,131S,18 St,2023-03-30 12:52:18.294692,2023-03-30 12:58:15,2023-03-30 12:58:15
073350_1..S03R,20230330,1,132S,14 St,2023-03-30 12:52:18.294692,2023-03-30 12:59:15,2023-03-30 12:59:15
073350_1..S03R,20230330,1,133S,Christopher St-Sheridan Sq,2023-03-30 12:52:18.294692,2023-03-30 13:00:45,2023-03-30 13:00:45
073350_1..S03R,20230330,1,134S,Houston St,2023-03-30 12:52:18.294692,2023-03-30 13:02:15,2023-03-30 13:02:15
073350_1..S03R,20230330,1,135S,Canal St,2023-03-30 12:52:18.294692,2023-03-30 13:03:45,2023-03-30 13:03:45
073350_1..S03R,20230330,1,136S,Franklin St,2023-03-30 12:52:18.294692,2023-03-30 13:04:45,2023-03-30 13:04:45
073350_1..S03R,20230330,1,137S,Chambers St,2023-03-30 12:52:18.294692,2023-03-30 13:06:15,2023-03-30 13:06:15
073350_1..S03R,20230330,1,138S,WTC Cortlandt,2023-03-30 12:52:18.294692,2023-03-30 13:07:15,2023-03-30 13:07:15
073350_1..S03R,20230330,1,139S,Rector St,2023-03-30 12:52:18.294692,2023-03-30 13:08:45,2023-03-30 13:08:45
073350_1..S03R,20230330,1,142S,South Ferry,2023-03-30 12:52:18.294692,2023-03-30 13:10:15,
073550_1..N03R,20230330,1,113N,157 St,2023-03-30 12:52:18.294692,2023-03-30 12:53:28,2023-03-30 12:53:28
073550_1..N03R,20230330,1,112N,168 St-Washington Hts,2023-03-30 12:52:18.294692,2023-03-30 12:54:58,2023-03-30 12:54:58
073550_1..N03R,20230330,1,111N,181 St,2023-03-30 12:52:18.294692,2023-03-30 12:56:58,2023-03-30 12:56:58
