trip_id,trip_date,line,stop_id,stop_name,update_time,arrival_time,departure_time
067850_1..N03R,20230330,1,101N,Van Cortlandt Park-242 St,2023-03-30 12:17:08.190625,2023-03-30 12:17:27,
067950_1..S03R,20230330,1,139S,Rector St,2023-03-30 12:17:08.190625,2023-03-30 12:17:27,2023-03-30 12:17:27
067950_1..S03R,20230330,1,142S,South Ferry,2023-03-30 12:17:08.190625,2023-03-30 12:18:57,
068350_1..N03R,20230330,1,104N,231 St,2023-03-30 12:17:08.190625,2023-03-30 12:17:55,2023-03-30 12:17:55
068350_1..N03R,20230330,1,103N,238 St,2023-03-30 12:17:08.190625,2023-03-30 12:19:25,2023-03-30 12:21:55
068350_1..N03R,20230330,1,101N,Van Cortlandt Park-242 St,2023-03-30 12:17:08.190625,2023-03-30 12:23:25,
068550_1..S03R,20230330,1,137S,Chambers St,2023-03-30 12:17:08.190625,2023-03-30 12:18:12,2023-03-30 12:18:12
068550_1..S03R,20230330,1,138S,WTC Cortlandt,2023-03-30 12:17:08.190625,2023-03-30 12:19:12,2023-03-30 12:19:12
068550_1..S03R,20230330,1,139S,Rector St,2023-03-30 12:17:08.190625,2023-03-30 12:20:42,2023-03-30 12:20:42
068550_1..S03R,20230330,1,142S,South Ferry,2023-03-30 12:17:08.190625,2023-03-30 12:22:12,
068850_1..N03R,20230330,1,108N,207 St,2023-03-30 12:17:08.190625,2023-03-30 12:17:16,2023-03-30 12:17:16
068850_1..N03R,20230330,1,107N,215 St,2023-03-30 12:17:08.190625,2023-03-30 12:18:46,2023-03-30 12:18:46
068850_1..N03R,20230330,1,106N,Marble Hill-225 St,2023-03-30 12:17:08.190625,2023-03-30 12:20:16,2023-03-30 12:20:16
068850_1..N03R,20230330,1,104N,231 St,2023-03-30 12:17:08.190625,2023-03-30 12:21:46,2023-03-30 12:21:46
068850_1..N03R,20230330,1,103N,238 St,2023-03-30 12:17:08.190625,2023-03-30 12:23:16,2023-03-30 12:25:46
068850_1..N03R,20230330,1,101N,Van Cortlandt Park-242 St,2023-03-30 12:17:08.190625,2023-03-30 12:27:16,
069150_1..S03R,20230330,1,132S,14 St,2023-03-30 12:17:08.190625,2023-03-30 12:17:47,2023-03-30 12:17:47
069150_1..S03R,20230330,1,133S,Christopher St-Sheridan Sq,2023-03-30 12:17:08.190625,2023-03-30 12:19:17,2023-03-30 12:19:17
069150_1..S03R,20230330,1,134S,Houston St,2023-03-30 12:17:08.190625,2023-03-30 12:20:47,2023-03-30 12:20:47
069150_1..S03R,20230330,1,135S,Canal St,2023-03-30 12:17:08.190625,2023-03-30 12:22:17,2023-03-30 12:22:17
069150_1..S03R,20230330,1,136S,Franklin St,2023-03-30 12:17:08.190625,2023-03-30 12:23:17,2023-03-30 12:23:17
069150_1..S03R,20230330,1,137S,Chambers St,2023-03-30 12:17:08.190625,2023-03-30 12:24:47,2023-03-30 12:24:47
069150_1..S03R,20230330,1,138S,WTC Cortlandt,2023-03-30 12:17:08.190625,2023-03-30 12:25:47,2023-03-30 12:25:47
069150_1..S03R,20230330,1,139S,Rector St,2023-03-30 12:17:08.190625,2023-03-30 12:27:17,2023-03-30 12:27:17
069150_1..S03R,20230330,1,142S,South Ferry,2023-03-30 12:17:08.190625,2023-03-30 12:28:47,
069450_1..N03R,20230330,1,111N,181 St,2023-03-30 12:17:08.190625,2023-03-30 12:17:53,2023-03-30 12:17:53
069450_1..N03R,20230330,1,110N,191 St,2023-03-30 12:17:08.190625,2023-03-30 12:19:23,2023-03-30 12:19:23
069450_1..N03R,20230330,1,109N,Dyckman St,2023-03-30 12:17:08.190625,2023-03-30 12:20:23,2023-03-30 12:20:23
069450_1..N03R,20230330,1,108N,207 St,2023-03-30 12:17:08.190625,2023-03-30 12:21:53,2023-03-30 12:21:53
069450_1..N03R,20230330,1,107N,215 St,2023-03-30 12:17:08.190625,2023-03-30 12:23:23,2023-03-30 12:23:23
069450_1..N03R,20230330,1,106N,Marble Hill-225 St,2023-03-30 12:17:08.190625,2023-03-30 12:24:53,2023-03-30 12:24:53
069450_1..N03R,20230330,1,104N,231 St,2023-03-30 12:17:08.190625,2023-03-30 12:26:23,2023-03-30 12:26:23
069450_1..N03R,20230330,1,103N,238 St,2023-03-30 12:17:08.190625,2023-03-30 12:27:53,2023-03-30 12:30:23
069450_1..N03R,20230330,1,101N,Van Cortlandt Park-242 St,2023-03-30 12:17:08.190625,2023-03-30 12:31:53,
069750_1..S03R,20230330,1,127S,Times Sq-42 St,2023-03-30 12:17:08.190625,2023-03-30 12:18:05,2023-03-30 12:18:05
069750_1..S03R,20230330,1,128S,34 St-Penn Station,2023-03-30 12:17:08.190625,2023-03-30 12:19:35,2023-03-30 12:19:35
069750_1..S03R,20230330,1,129S,28 St,2023-03-30 12:17:08.190625,2023-03-30 12:21:05,2023-03-30 12:21:05
069750_1..S03R,20230330,1,130S,23 St,2023-03-30 12:17:08.190625,2023-03-30 12:22:05,2023-03-30 12:22:05
069750_1..S03R,20230330,1,131S,18 St,2023-03-30 12:17:08.190625,2023-03-30 12:23:05,2023-03-30 12:23:05
069750_1..S03R,20230330,1,132S,14 St,2023-03-30 12:17:08.190625,2023-03-30 12:24:05,2023-03-30 12:24:05
069750_1..S03R,20230330,1,133S,Christopher St-Sheridan Sq,2023-03-30 12:17:08.190625,2023-03-30 12:25:35,2023-03-30 12:25:35
069750_1..S03R,20230330,1,134S,Houston St,2023-03-30 12:17:08.190625,2023-03-30 12:27:05,2023-03-30 12:27:05
069750_1..S03R,20230330,1,135S,Canal St,2023-03-30 12:17:08.190625,2023-03-30 12:28:35,2023-03-30 12:28:35
069750_1..S03R,20230330,1,136S,Franklin St,2023-03-30 12:17:08.190625,2023-03-30 12:29:35,2023-03-30 12:29:35
069750_1..S03R,20230330,1,137S,Chambers St,2023-03-30 12:17:08.190625,2023-03-30 12:31:05,2023-03-30 12:31:05
069750_1..S03R,20230330,1,138S,WTC Cortlandt,2023-03-30 12:17:08.190625,2023-03-30 12:32:05,2023-03-30 12:32:05
069750_1..S03R,20230330,1,139S,Rector St,2023-03-30 12:17:08.190625,2023-03-30 12:33:35,2023-03-30 12:33:35
069750_1..S03R,20230330,1,142S,South Ferry,2023-03-30 12:17:08.190625,2023-03-30 12:35:05,
069950_1..N03R,20230330,1,113N,157 St,2023-03-30 12:17:08.190625,2023-03-30 12:17:07,2023-03-30 12:17:07
069950_1..N03R,20230330,1,112N,168 St-Washington Hts,2023-03-30 12:17:08.190625,2023-03-30 12:18:37,2023-03-30 12:18:37
069950_1..N03R,20230330,1,111N,181 St,2023-03-30 12:17:08.190625,2023-03-30 12:20:37,2023-03-30 12:20:37
069950_1..N03R,20230330,1,110N,191 St,2023-03-30 12:17:08.190625,2023-03-30 12:22:07,2023-03-30 12:22:07
069950_1..N03R,20230330,1,109N,Dyckman St,2023-03-30 12:17:08.190625,2023-03-30 12:23:07,2023-03-30 12:23:07
069950_1..N03R,20230330,1,108N,207 St,2023-03-30 12:17:08.190625,2023-03-30 12:24:37,2023-03-30 12:24:37
069950_1..N03R,20230330,1,107N,215 St,2023-03-30 12:17:08.190625,2023-03-30 12:26:07,2023-03-30 12:26:07
069950_1..N03R,20230330,1,106N,Marble Hill-225 St,2023-03-30 12:17:08.190625,2023-03-30 12:27:37,2023-03-30 12:27:37
069950_1..N03R,20230330,1,104N,231 St,2023-03-30 12:17:08.190625,2023-03-30 12:29:07,2023-03-30 12:29:07
069950_1..N03R,20230330,1,103N,238 St,2023-03-30 12:17:08.190625,2023-03-30 12:30:37,2023-03-30 12:33:07
069950_1..N03R,20230330,1,101N,Van Cortlandt Park-242 St,2023-03-30 12:17:08.190625,2023-03-30 12:34:37,
070350_1..S03R,20230330,1,123S,72 St,2023-03-30 12:17:08.190625,2023-03-30 12:17:02,2023-03-30 12:17:02
070350_1..S03R,20230330,1,124S,66 St-Lincoln Center,2023-03-30 12:17:08.190625,2023-03-30 12:18:32,2023-03-30 12:18:32
070350_1..S03R,20230330,1,125S,59 St-Columbus Circle,2023-03-30 12:17:08.190625,2023-03-30 12:20:02,2023-03-30 12:20:02
070350_1..S03R,20230330,1,126S,50 St,2023-03-30 12:17:08.190625,2023-03-30 12:22:02,2023-03-30 12:22:02
070350_1..S03R,20230330,1,127S,Times Sq-42 St,2023-03-30 12:17:08.190625,2023-03-30 12:23:32,2023-03-30 12:23:32
070350_1..S03R,20230330,1,128S,34 St-Penn Station,2023-03-30 12:17:08.190625,2023-03-30 12:25:02,2023-03-30 12:25:02
070350_1..S03R,20230330,1,129S,28 St,2023-03-30 12:17:08.190625,2023-03-30 12:26:32,2023-03-30 12:26:32
070350_1..S03R,20230330,1,130S,23 St,2023-03-30 12:17:08.190625,2023-03-30 12:27:32,2023-03-30 12:27:32
070350_1..S03R,20230330,1,131S,18 St,2023-03-30 12:17:08.190625,2023-03-30 12:28:32,2023-03-30 12:28:32
070350_1..S03R,20230330,1,132S,14 St,2023-03-30 12:17:08.190625,2023-03-30 12:29:32,2023-03-30 12:29:32
070350_1..S03R,20230330,1,133S,Christopher St-Sheridan Sq,2023-03-30 12:17:08.190625,2023-03-30 12:31:02,2023-03-30 12:31:02
070350_1..S03R,20230330,1,134S,Houston St,2023-03-30 12:17:08.190625,2023-03-30 12:32:32,2023-03-30 12:32:32
070350_1..S03R,20230330,1,135S,Canal St,2023-03-30 12:17:08.190625,2023-03-30 12:34:02,2023-03-30 12:34:02
070350_1..S03R,20230330,1,136S,Franklin St,2023-03-30 12:17:08.190625,2023-03-30 12:35:02,2023-03-30 12:35:02
070350_1..S03R,20230330,1,137S,Chambers St,2023-03-30 12:17:08.190625,2023-03-30 12:36:32,2023-03-30 12:36:32
070350_1..S03R,20230330,1,138S,WTC Cortlandt,2023-03-30 12:17:08.190625,2023-03-30 12:37:32,2023-03-30 12:37:32
070350_1..S03R,20230330,1,139S,Rector St,2023-03-30 12:17:08.190625,2023-03-30 12:39:02,2023-03-30 12:39:02
070350_1..S03R,20230330,1,142S,South Ferry,2023-03-30 12:17:08.190625,2023-03-30 12:40:32,
070550_1..N03R,20230330,1,117N,116 St-Columbia University,2023-03-30 12:17:08.190625,2023-03-30 12:16:55,2023-03-30 12:16:55
070550_1..N03R,20230330,1,116N,125 St,2023-03-30 12:17:08.190625,2023-03-30 12:19:25,2023-03-30 12:19:25
070550_1..N03R,20230330,1,115N,137 St-City College,2023-03-30 12:17:08.190625,2023-03-30 12:20:55,2023-03-30 12:20:55
