trip_id,trip_date,line,stop_id,stop_name,update_time,arrival_time,departure_time
077550_1..S03R,20230330,1,137S,Chambers St,2023-03-30 13:48:33.819629,2023-03-30 13:48:41,2023-03-30 13:48:41
077550_1..S03R,20230330,1,138S,WTC Cortlandt,2023-03-30 13:48:33.819629,2023-03-30 13:49:41,2023-03-30 13:49:41
077550_1..S03R,20230330,1,139S,Rector St,2023-03-30 13:48:33.819629,2023-03-30 13:51:11,2023-03-30 13:51:11
077550_1..S03R,20230330,1,142S,South Ferry,2023-03-30 13:48:33.819629,2023-03-30 13:52:41,
077750_1..N03R,20230330,1,104N,231 St,2023-03-30 13:48:33.819629,2023-03-30 13:48:19,2023-03-30 13:48:19
077750_1..N03R,20230330,1,103N,238 St,2023-03-30 13:48:33.819629,2023-03-30 13:49:49,2023-03-30 13:52:19
077750_1..N03R,20230330,1,101N,Van Cortlandt Park-242 St,2023-03-30 13:48:33.819629,2023-03-30 13:53:49,
078150_1..S03R,20230330,1,133S,Christopher St-Sheridan Sq,2023-03-30 13:48:33.819629,2023-03-30 13:48:24,2023-03-30 13:48:24
078150_1..S03R,20230330,1,134S,Houston St,2023-03-30 13:48:33.819629,2023-03-30 13:49:54,2023-03-30 13:49:54
078150_1..S03R,20230330,1,135S,Canal St,2023-03-30 13:48:33.819629,2023-03-30 13:51:24,2023-03-30 13:51:24
078150_1..S03R,20230330,1,136S,Franklin St,2023-03-30 13:48:33.819629,2023-03-30 13:52:24,2023-03-30 13:52:24
078150_1..S03R,20230330,1,137S,Chambers St,2023-03-30 13:48:33.819629,2023-03-30 13:53:54,2023-03-30 13:53:54
078150_1..S03R,20230330,1,138S,WTC Cortlandt,2023-03-30 13:48:33.819629,2023-03-30 13:54:54,2023-03-30 13:54:54
078150_1..S03R,20230330,1,139S,Rector St,2023-03-30 13:48:33.819629,2023-03-30 13:56:24,2023-03-30 13:56:24
078150_1..S03R,20230330,1,142S,South Ferry,2023-03-30 13:48:33.819629,2023-03-30 13:57:54,
078350_1..N03R,20230330,1,109N,Dyckman St,2023-03-30 13:48:33.819629,2023-03-30 13:49:01,2023-03-30 13:49:01
078350_1..N03R,20230330,1,108N,207 St,2023-03-30 13:48:33.819629,2023-03-30 13:50:31,2023-03-30 13:50:31
078350_1..N03R,20230330,1,107N,215 St,2023-03-30 13:48:33.819629,2023-03-30 13:52:01,2023-03-30 13:52:01
078350_1..N03R,20230330,1,106N,Marble Hill-225 St,2023-03-30 13:48:33.819629,2023-03-30 13:53:31,2023-03-30 13:53:31
078350_1..N03R,20230330,1,104N,231 St,2023-03-30 13:48:33.819629,2023-03-30 13:55:01,2023-03-30 13:55:01
078350_1..N03R,20230330,1,103N,238 St,2023-03-30 13:48:33.819629,2023-03-30 13:56:31,2023-03-30 13:59:01
078350_1..N03R,20230330,1,101N,Van Cortlandt Park-242 St,2023-03-30 13:48:33.819629,2023-03-30 14:00:31,
078750_1..S03R,20230330,1,128S,34 St-Penn Station,2023-03-30 13:48:33.819629,2023-03-30 13:49:18,2023-03-30 13:49:18
