trip_id,trip_date,line,stop_id,stop_name,update_time,arrival_time,departure_time
072150_1..S03R,20230330,1,137S,Chambers St,2023-03-30 12:56:19.469627,2023-03-30 12:56:00,2023-03-30 12:56:00
072150_1..S03R,20230330,1,138S,WTC Cortlandt,2023-03-30 12:56:19.469627,2023-03-30 12:57:00,2023-03-30 12:57:00
072150_1..S03R,20230330,1,139S,Rector St,2023-03-30 12:56:19.469627,2023-03-30 12:58:30,2023-03-30 12:58:30
072150_1..S03R,20230330,1,142S,South Ferry,2023-03-30 12:56:19.469627,2023-03-30 13:00:00,
072350_1..N03R,20230330,1,104N,231 St,2023-03-30 12:56:19.469627,2023-03-30 12:57:08,2023-03-30 12:57:08
072350_1..N03R,20230330,1,103N,238 St,2023-03-30 12:56:19.469627,2023-03-30 12:58:38,2023-03-30 13:01:08
072350_1..N03R,20230330,1,101N,Van Cortlandt Park-242 St,2023-03-30 12:56:19.469627,2023-03-30 13:02:38,
072750_1..S03R,20230330,1,134S,Houston St,2023-03-30 12:56:19.469627,2023-03-30 12:56:27,2023-03-30 12:56:27
072750_1..S03R,20230330,1,135S,Canal St,2023-03-30 12:56:19.469627,2023-03-30 12:57:57,2023-03-30 12:57:57
072750_1..S03R,20230330,1,136S,Franklin St,2023-03-30 12:56:19.469627,2023-03-30 12:58:57,2023-03-30 12:58:57
072750_1..S03R,20230330,1,137S,Chambers St,2023-03-30 12:56:19.469627,2023-03-30 13:00:27,2023-03-30 13:00:27
072750_1..S03R,20230330,1,138S,WTC Cortlandt,2023-03-30 12:56:19.469627,2023-03-30 13:01:27,2023-03-30 13:01:27
072750_1..S03R,20230330,1,139S,Rector St,2023-03-30 12:56:19.469627,2023-03-30 13:02:57,2023-03-30 13:02:57
072750_1..S03R,20230330,1,142S,South Ferry,2023-03-30 12:56:19.469627,2023-03-30 13:04:27,
072950_1..N03R,20230330,1,108N,207 St,2023-03-30 12:56:19.469627,2023-03-30 12:56:05,2023-03-30 12:56:05
072950_1..N03R,20230330,1,107N,215 St,2023-03-30 12:56:19.469627,2023-03-30 12:57:35,2023-03-30 12:57:35
072950_1..N03R,20230330,1,106N,Marble Hill-225 St,2023-03-30 12:56:19.469627,2023-03-30 12:59:05,2023-03-30 12:59:05
072950_1..N03R,20230330,1,104N,231 St,2023-03-30 12:56:19.469627,2023-03-30 13:00:35,2023-03-30 13:00:35
072950_1..N03R,20230330,1,103N,238 St,2023-03-30 12:56:19.469627,2023-03-30 13:02:05,2023-03-30 13:04:35
072950_1..N03R,20230330,1,101N,Van Cortlandt Park-242 St,2023-03-30 12:56:19.469627,2023-03-30 13:06:05,
073350_1..S03R,20230330,1,129S,28 St,2023-03-30 12:56:19.469627,2023-03-30 12:56:23,2023-03-30 12:56:23
073350_1..S03R,20230330,1,130S,23 St,2023-03-30 12:56:19.469627,2023-03-30 12:57:23,2023-03-30 12:57:23
073350_1..S03R,20230330,1,131S,18 St,2023-03-30 12:56:19.469627,2023-03-30 12:58:23,2023-03-30 12:58:23
073350_1..S03R,20230330,1,132S,14 St,2023-03-30 12:56:19.469627,2023-03-30 12:59:23,2023-03-30 12:59:23
073350_1..S03R,20230330,1,133S,Christopher St-Sheridan Sq,2023-03-30 12:56:19.469627,2023-03-30 13:00:53,2023-03-30 13:00:53
073350_1..S03R,20230330,1,134S,Houston St,2023-03-30 12:56:19.469627,2023-03-30 13:02:23,2023-03-30 13:02:23
073350_1..S03R,20230330,1,135S,Canal St,2023-03-30 12:56:19.469627,2023-03-30 13:03:53,2023-03-30 13:03:53
073350_1..S03R,20230330,1,136S,Franklin St,2023-03-30 12:56:19.469627,2023-03-30 13:04:53,2023-03-30 13:04:53
073350_1..S03R,20230330,1,137S,Chambers St,2023-03-30 12:56:19.469627,2023-03-30 13:06:23,2023-03-30 13:06:23
073350_1..S03R,20230330,1,138S,WTC Cortlandt,2023-03-30 12:56:19.469627,2023-03-30 13:07:23,2023-03-30 13:07:23
073350_1..S03R,20230330,1,139S,Rector St,2023-03-30 12:56:19.469627,2023-03-30 13:08:53,2023-03-30 13:08:53
073350_1..S03R,20230330,1,142S,South Ferry,2023-03-30 12:56:19.469627,2023-03-30 13:10:23,
073550_1..N03R,20230330,1,111N,181 St,2023-03-30 12:56:19.469627,2023-03-30 12:56:33,2023-03-30 12:56:33
073550_1..N03R,20230330,1,110N,191 St,2023-03-30 12:56:19.469627,2023-03-30 12:58:03,2023-03-30 12:58:03
073550_1..N03R,20230330,1,109N,Dyckman St,2023-03-30 12:56:19.469627,2023-03-30 12:59:03,2023-03-30 12:59:03
073550_1..N03R,20230330,1,108N,207 St,2023-03-30 12:56:19.469627,2023-03-30 13:00:33,2023-03-30 13:00:33
073550_1..N03R,20230330,1,107N,215 St,2023-03-30 12:56:19.469627,2023-03-30 13:02:03,2023-03-30 13:02:03
073550_1..N03R,20230330,1,106N,Marble Hill-225 St,2023-03-30 12:56:19.469627,2023-03-30 13:03:33,2023-03-30 13:03:33
073550_1..N03R,20230330,1,104N,231 St,2023-03-30 12:56:19.469627,2023-03-30 13:05:03,2023-03-30 13:05:03
073550_1..N03R,20230330,1,103N,238 St,2023-03-30 12:56:19.469627,2023-03-30 13:06:33,2023-03-30 13:09:03
073550_1..N03R,20230330,1,101N,Van Cortlandt Park-242 St,2023-03-30 12:56:19.469627,2023-03-30 13:10:33,
073950_1..S03R,20230330,1,125S,59 St-Columbus Circle,2023-03-30 12:56:19.469627,2023-03-30 12:56:09,2023-03-30 12:56:09
073950_1..S03R,20230330,1,126S,50 St,2023-03-30 12:56:19.469627,2023-03-30 12:58:09,2023-03-30 12:58:09
073950_1..S03R,20230330,1,127S,Times Sq-42 St,2023-03-30 12:56:19.469627,2023-03-30 12:59:39,2023-03-30 12:59:39
073950_1..S03R,20230330,1,128S,34 St-Penn Station,2023-03-30 12:56:19.469627,2023-03-30 13:01:09,2023-03-30 13:01:09
073950_1..S03R,20230330,1,129S,28 St,2023-03-30 12:56:19.469627,2023-03-30 13:02:39,2023-03-30 13:02:39
073950_1..S03R,20230330,1,130S,23 St,2023-03-30 12:56:19.469627,2023-03-30 13:03:39,2023-03-30 13:03:39
073950_1..S03R,20230330,1,131S,18 St,2023-03-30 12:56:19.469627,2023-03-30 13:04:39,2023-03-30 13:04:39
073950_1..S03R,20230330,1,132S,14 St,2023-03-30 12:56:19.469627,2023-03-30 13:05:39,2023-03-30 13:05:39
073950_1..S03R,20230330,1,133S,Christopher St-Sheridan Sq,2023-03-30 12:56:19.469627,2023-03-30 13:07:09,2023-03-30 13:07:09
073950_1..S03R,20230330,1,134S,Houston St,2023-03-30 12:56:19.469627,2023-03-30 13:08:39,2023-03-30 13:08:39
073950_1..S03R,20230330,1,135S,Canal St,2023-03-30 12:56:19.469627,2023-03-30 13:10:09,2023-03-30 13:10:09
073950_1..S03R,20230330,1,136S,Franklin St,2023-03-30 12:56:19.469627,2023-03-30 13:11:09,2023-03-30 13:11:09
073950_1..S03R,20230330,1,137S,Chambers St,2023-03-30 12:56:19.469627,2023-03-30 13:12:39,2023-03-30 13:12:39
