trip_id,trip_date,line,stop_id,stop_name,update_time,arrival_time,departure_time
078150_1..S03R,20230330,1,139S,Rector St,2023-03-30 13:56:36.095109,2023-03-30 13:57:36,2023-03-30 13:57:36
078150_1..S03R,20230330,1,142S,South Ferry,2023-03-30 13:56:36.095109,2023-03-30 13:59:06,
078350_1..N03R,20230330,1,104N,231 St,2023-03-30 13:56:36.095109,2023-03-30 13:56:07,2023-03-30 13:56:07
078350_1..N03R,20230330,1,103N,238 St,2023-03-30 13:56:36.095109,2023-03-30 13:57:37,2023-03-30 14:00:07
078350_1..N03R,20230330,1,101N,Van Cortlandt Park-242 St,2023-03-30 13:56:36.095109,2023-03-30 14:01:37,
078750_1..S03R,20230330,1,135S,Canal St,2023-03-30 13:56:36.095109,2023-03-30 13:57:51,2023-03-30 13:57:51
078750_1..S03R,20230330,1,136S,Franklin St,2023-03-30 13:56:36.095109,2023-03-30 13:58:51,2023-03-30 13:58:51
078750_1..S03R,20230330,1,137S,Chambers St,2023-03-30 13:56:36.095109,2023-03-30 14:00:21,2023-03-30 14:00:21
078750_1..S03R,20230330,1,138S,WTC Cortlandt,2023-03-30 13:56:36.095109,2023-03-30 14:01:21,2023-03-30 14:01:21
078750_1..S03R,20230330,1,139S,Rector St,2023-03-30 13:56:36.095109,2023-03-30 14:02:51,2023-03-30 14:02:51
078750_1..S03R,20230330,1,142S,South Ferry,2023-03-30 13:56:36.095109,2023-03-30 14:04:21,
078950_1..N03R,20230330,1,109N,Dyckman St,2023-03-30 13:56:36.095109,2023-03-30 13:56:07,2023-03-30 13:56:07
078950_1..N03R,20230330,1,108N,207 St,2023-03-30 13:56:36.095109,2023-03-30 13:57:37,2023-03-30 13:57:37
078950_1..N03R,20230330,1,107N,215 St,2023-03-30 13:56:36.095109,2023-03-30 13:59:07,2023-03-30 13:59:07
078950_1..N03R,20230330,1,106N,Marble Hill-225 St,2023-03-30 13:56:36.095109,2023-03-30 14:00:37,2023-03-30 14:00:37
078950_1..N03R,20230330,1,104N,231 St,2023-03-30 13:56:36.095109,2023-03-30 14:02:07,2023-03-30 14:02:07
078950_1..N03R,20230330,1,103N,238 St,2023-03-30 13:56:36.095109,2023-03-30 14:03:37,2023-03-30 14:06:07
078950_1..N03R,20230330,1,101N,Van Cortlandt Park-242 St,2023-03-30 13:56:36.095109,2023-03-30 14:07:37,
079350_1..S03R,20230330,1,129S,28 St,2023-03-30 13:56:36.095109,2023-03-30 13:56:35,2023-03-30 13:56:35
079350_1..S03R,20230330,1,130S,23 St,2023-03-30 13:56:36.095109,2023-03-30 13:57:35,2023-03-30 13:57:35
079350_1..S03R,20230330,1,131S,18 St,2023-03-30 13:56:36.095109,2023-03-30 13:58:35,2023-03-30 13:58:35
079350_1..S03R,20230330,1,132S,14 St,2023-03-30 13:56:36.095109,2023-03-30 13:59:35,2023-03-30 13:59:35
079350_1..S03R,20230330,1,133S,Christopher St-Sheridan Sq,2023-03-30 13:56:36.095109,2023-03-30 14:01:05,2023-03-30 14:01:05
079350_1..S03R,20230330,1,134S,Houston St,2023-03-30 13:56:36.095109,2023-03-30 14:02:35,2023-03-30 14:02:35
079350_1..S03R,20230330,1,135S,Canal St,2023-03-30 13:56:36.095109,2023-03-30 14:04:05,2023-03-30 14:04:05
079350_1..S03R,20230330,1,136S,Franklin St,2023-03-30 13:56:36.095109,2023-03-30 14:05:05,2023-03-30 14:05:05
079350_1..S03R,20230330,1,137S,Chambers St,2023-03-30 13:56:36.095109,2023-03-30 14:06:35,2023-03-30 14:06:35
079350_1..S03R,20230330,1,138S,WTC Cortlandt,2023-03-30 13:56:36.095109,2023-03-30 14:07:35,2023-03-30 14:07:35
079350_1..S03R,20230330,1,139S,Rector St,2023-03-30 13:56:36.095109,2023-03-30 14:09:05,2023-03-30 14:09:05
079350_1..S03R,20230330,1,142S,South Ferry,2023-03-30 13:56:36.095109,2023-03-30 14:10:35,
079550_1..N03R,20230330,1,112N,168 St-Washington Hts,2023-03-30 13:56:36.095109,2023-03-30 13:56:27,2023-03-30 13:56:27
079550_1..N03R,20230330,1,111N,181 St,2023-03-30 13:56:36.095109,2023-03-30 13:58:27,2023-03-30 13:58:27
079550_1..N03R,20230330,1,110N,191 St,2023-03-30 13:56:36.095109,2023-03-30 13:59:57,2023-03-30 13:59:57
079550_1..N03R,20230330,1,109N,Dyckman St,2023-03-30 13:56:36.095109,2023-03-30 14:00:57,2023-03-30 14:00:57
079550_1..N03R,20230330,1,108N,207 St,2023-03-30 13:56:36.095109,2023-03-30 14:02:27,2023-03-30 14:02:27
079550_1..N03R,20230330,1,107N,215 St,2023-03-30 13:56:36.095109,2023-03-30 14:03:57,2023-03-30 14:03:57
079550_1..N03R,20230330,1,106N,Marble Hill-225 St,2023-03-30 13:56:36.095109,2023-03-30 14:05:27,2023-03-30 14:05:27
079550_1..N03R,20230330,1,104N,231 St,2023-03-30 13:56:36.095109,2023-03-30 14:06:57,2023-03-30 14:06:57
079550_1..N03R,20230330,1,103N,238 St,2023-03-30 13:56:36.095109,2023-03-30 14:08:27,2023-03-30 14:10:57
079550_1..N03R,20230330,1,101N,Van Cortlandt Park-242 St,2023-03-30 13:56:36.095109,2023-03-30 14:12:27,
079950_1..S03R,20230330,1,126S,50 St,2023-03-30 13:56:36.095109,2023-03-30 13:58:05,2023-03-30 13:58:05
079950_1..S03R,20230330,1,127S,Times Sq-42 St,2023-03-30 13:56:36.095109,2023-03-30 13:59:35,2023-03-30 13:59:35
079950_1..S03R,20230330,1,128S,34 St-Penn Station,2023-03-30 13:56:36.095109,2023-03-30 14:01:05,2023-03-30 14:01:05
079950_1..S03R,20230330,1,129S,28 St,2023-03-30 13:56:36.095109,2023-03-30 14:02:35,2023-03-30 14:02:35
079950_1..S03R,20230330,1,130S,23 St,2023-03-30 13:56:36.095109,2023-03-30 14:03:35,2023-03-30 14:03:35
079950_1..S03R,20230330,1,131S,18 St,2023-03-30 13:56:36.095109,2023-03-30 14:04:35,2023-03-30 14:04:35
079950_1..S03R,20230330,1,132S,14 St,2023-03-30 13:56:36.095109,2023-03-30 14:05:35,2023-03-30 14:05:35
079950_1..S03R,20230330,1,133S,Christopher St-Sheridan Sq,2023-03-30 13:56:36.095109,2023-03-30 14:07:05,2023-03-30 14:07:05
079950_1..S03R,20230330,1,134S,Houston St,2023-03-30 13:56:36.095109,2023-03-30 14:08:35,2023-03-30 14:08:35
079950_1..S03R,20230330,1,135S,Canal St,2023-03-30 13:56:36.095109,2023-03-30 14:10:05,2023-03-30 14:10:05
079950_1..S03R,20230330,1,136S,Franklin St,2023-03-30 13:56:36.095109,2023-03-30 14:11:05,2023-03-30 14:11:05
079950_1..S03R,20230330,1,137S,Chambers St,2023-03-30 13:56:36.095109,2023-03-30 14:12:35,2023-03-30 14:12:35
079950_1..S03R,20230330,1,138S,WTC Cortlandt,2023-03-30 13:56:36.095109,2023-03-30 14:13:35,2023-03-30 14:13:35
079950_1..S03R,20230330,1,139S,Rector St,2023-03-30 13:56:36.095109,2023-03-30 14:15:05,2023-03-30 14:15:05
079950_1..S03R,20230330,1,142S,South Ferry,2023-03-30 13:56:36.095109,2023-03-30 14:16:35,
080150_1..N03R,20230330,1,115N,137 St-City College,2023-03-30 13:56:36.095109,2023-03-30 13:56:55,2023-03-30 13:56:55
080150_1..N03R,20230330,1,114N,145 St,2023-03-30 13:56:36.095109,2023-03-30 13:58:25,2023-03-30 13:58:25
080150_1..N03R,20230330,1,113N,157 St,2023-03-30 13:56:36.095109,2023-03-30 14:00:25,2023-03-30 14:00:25
080150_1..N03R,20230330,1,112N,168 St-Washington Hts,2023-03-30 13:56:36.095109,2023-03-30 14:01:55,2023-03-30 14:01:55
080150_1..N03R,20230330,1,111N,181 St,2023-03-30 13:56:36.095109,2023-03-30 14:03:55,2023-03-30 14:03:55
080150_1..N03R,20230330,1,110N,191 St,2023-03-30 13:56:36.095109,2023-03-30 14:05:25,2023-03-30 14:05:25
080150_1..N03R,20230330,1,109N,Dyckman St,2023-03-30 13:56:36.095109,2023-03-30 14:06:25,2023-03-30 14:06:25
080150_1..N03R,20230330,1,108N,207 St,2023-03-30 13:56:36.095109,2023-03-30 14:07:55,2023-03-30 14:07:55
080150_1..N03R,20230330,1,107N,215 St,2023-03-30 13:56:36.095109,2023-03-30 14:09:25,2023-03-30 14:09:25
080150_1..N03R,20230330,1,106N,Marble Hill-225 St,2023-03-30 13:56:36.095109,2023-03-30 14:10:55,2023-03-30 14:10:55
080150_1..N03R,20230330,1,104N,231 St,2023-03-30 13:56:36.095109,2023-03-30 14:12:25,2023-03-30 14:12:25
080150_1..N03R,20230330,1,103N,238 St,2023-03-30 13:56:36.095109,2023-03-30 14:13:55,2023-03-30 14:16:25
080150_1..N03R,20230330,1,101N,Van Cortlandt Park-242 St,2023-03-30 13:56:36.095109,2023-03-30 14:17:55,
080550_1..S03R,20230330,1,121S,86 St,2023-03-30 13:56:36.095109,2023-03-30 13:56:45,2023-03-30 13:56:45
080550_1..S03R,20230330,1,122S,79 St,2023-03-30 13:56:36.095109,2023-03-30 13:57:45,2023-03-30 13:57:45
080550_1..S03R,20230330,1,123S,72 St,2023-03-30 13:56:36.095109,2023-03-30 13:59:15,2023-03-30 13:59:15
080550_1..S03R,20230330,1,124S,66 St-Lincoln Center,2023-03-30 13:56:36.095109,2023-03-30 14:00:45,2023-03-30 14:00:45
080550_1..S03R,20230330,1,125S,59 St-Columbus Circle,2023-03-30 13:56:36.095109,2023-03-30 14:02:15,2023-03-30 14:02:15
080550_1..S03R,20230330,1,126S,50 St,2023-03-30 13:56:36.095109,2023-03-30 14:04:15,2023-03-30 14:04:15
080550_1..S03R,20230330,1,127S,Times Sq-42 St,2023-03-30 13:56:36.095109,2023-03-30 14:05:45,2023-03-30 14:05:45
080550_1..S03R,20230330,1,128S,34 St-Penn Station,2023-03-30 13:56:36.095109,2023-03-30 14:07:15,2023-03-30 14:07:15
080550_1..S03R,20230330,1,129S,28 St,2023-03-30 13:56:36.095109,2023-03-30 14:08:45,2023-03-30 14:08:45
080550_1..S03R,20230330,1,130S,23 St,2023-03-30 13:56:36.095109,2023-03-30 14:09:45,2023-03-30 14:09:45
080550_1..S03R,20230330,1,131S,18 St,2023-03-30 13:56:36.095109,2023-03-30 14:10:45,2023-03-30 14:10:45
080550_1..S03R,20230330,1,132S,14 St,2023-03-30 13:56:36.095109,2023-03-30 14:11:45,2023-03-30 14:11:45
080550_1..S03R,20230330,1,133S,Christopher St-Sheridan Sq,2023-03-30 13:56:36.095109,2023-03-30 14:13:15,2023-03-30 14:13:15
080550_1..S03R,20230330,1,134S,Houston St,2023-03-30 13:56:36.095109,2023-03-30 14:14:45,2023-03-30 14:14:45
080550_1..S03R,20230330,1,135S,Canal St,2023-03-30 13:56:36.095109,2023-03-30 14:16:15,2023-03-30 14:16:15
080550_1..S03R,20230330,1,136S,Franklin St,2023-03-30 13:56:36.095109,2023-03-30 14:17:15,2023-03-30 14:17:15
080550_1..S03R,20230330,1,137S,Chambers St,2023-03-30 13:56:36.095109,2023-03-30 14:18:45,2023-03-30 14:18:45
080550_1..S03R,20230330,1,138S,WTC Cortlandt,2023-03-30 13:56:36.095109,2023-03-30 14:19:45,2023-03-30 14:19:45
080550_1..S03R,20230330,1,139S,Rector St,2023-03-30 13:56:36.095109,2023-03-30 14:21:15,2023-03-30 14:21:15
080550_1..S03R,20230330,1,142S,South Ferry,2023-03-30 13:56:36.095109,2023-03-30 14:22:45,
080750_1..N03R,20230330,1,119N,103 St,2023-03-30 13:56:36.095109,2023-03-30 13:57:20,2023-03-30 13:57:20
080750_1..N03R,20230330,1,118N,Cathedral Pkwy (110 St),2023-03-30 13:56:36.095109,2023-03-30 13:58:20,2023-03-30 13:58:20
080750_1..N03R,20230330,1,117N,116 St-Columbia University,2023-03-30 13:56:36.095109,2023-03-30 13:59:20,2023-03-30 13:59:20
080750_1..N03R,20230330,1,116N,125 St,2023-03-30 13:56:36.095109,2023-03-30 14:01:50,2023-03-30 14:01:50
080750_1..N03R,20230330,1,115N,137 St-City College,2023-03-30 13:56:36.095109,2023-03-30 14:03:20,2023-03-30 14:03:20
080750_1..N03R,20230330,1,114N,145 St,2023-03-30 13:56:36.095109,2023-03-30 14:04:50,2023-03-30 14:04:50
080750_1..N03R,20230330,1,113N,157 St,2023-03-30 13:56:36.095109,2023-03-30 14:06:50,2023-03-30 14:06:50
080750_1..N03R,20230330,1,112N,168 St-Washington Hts,2023-03-30 13:56:36.095109,2023-03-30 14:08:20,2023-03-30 14:08:20
080750_1..N03R,20230330,1,111N,181 St,2023-03-30 13:56:36.095109,2023-03-30 14:10:20,2023-03-30 14:10:20
080750_1..N03R,20230330,1,110N,191 St,2023-03-30 13:56:36.095109,2023-03-30 14:11:50,2023-03-30 14:11:50
080750_1..N03R,20230330,1,109N,Dyckman St,2023-03-30 13:56:36.095109,2023-03-30 14:12:50,2023-03-30 14:12:50
080750_1..N03R,20230330,1,108N,207 St,2023-03-30 13:56:36.095109,2023-03-30 14:14:20,2023-03-30 14:14:20
080750_1..N03R,20230330,1,107N,215 St,2023-03-30 13:56:36.095109,2023-03-30 14:15:50,2023-03-30 14:15:50
080750_1..N03R,20230330,1,106N,Marble Hill-225 St,2023-03-30 13:56:36.095109,2023-03-30 14:17:20,2023-03-30 14:17:20
080750_1..N03R,20230330,1,104N,231 St,2023-03-30 13:56:36.095109,2023-03-30 14:18:50,2023-03-30 14:18:50
080750_1..N03R,20230330,1,103N,238 St,2023-03-30 13:56:36.095109,2023-03-30 14:20:20,2023-03-30 14:22:50
080750_1..N03R,20230330,1,101N,Van Cortlandt Park-242 St,2023-03-30 13:56:36.095109,2023-03-30 14:24:20,
081150_1..S03R,20230330,1,118S,Cathedral Pkwy (110 St),2023-03-30 13:56:36.095109,2023-03-30 13:57:10,2023-03-30 13:57:10
081150_1..S03R,20230330,1,119S,103 St,2023-03-30 13:56:36.095109,2023-03-30 13:58:10,2023-03-30 13:58:10
081150_1..S03R,20230330,1,120S,96 St,2023-03-30 13:56:36.095109,2023-03-30 14:00:10,2023-03-30 14:00:10
