trip_id,trip_date,line,stop_id,stop_name,update_time,arrival_time,departure_time
077550_1..S03R,20230330,1,142S,South Ferry,2023-03-30 13:54:35.564063,2023-03-30 13:54:22,
078150_1..S03R,20230330,1,137S,Chambers St,2023-03-30 13:54:35.564063,2023-03-30 13:53:01,2023-03-30 13:53:01
078150_1..S03R,20230330,1,138S,WTC Cortlandt,2023-03-30 13:54:35.564063,2023-03-30 13:54:01,2023-03-30 13:54:01
078150_1..S03R,20230330,1,139S,Rector St,2023-03-30 13:54:35.564063,2023-03-30 13:55:31,2023-03-30 13:55:31
078150_1..S03R,20230330,1,142S,South Ferry,2023-03-30 13:54:35.564063,2023-03-30 13:57:01,
078350_1..N03R,20230330,1,106N,Marble Hill-225 St,2023-03-30 13:54:35.564063,2023-03-30 13:54:42,2023-03-30 13:54:42
078350_1..N03R,20230330,1,104N,231 St,2023-03-30 13:54:35.564063,2023-03-30 13:56:12,2023-03-30 13:56:12
078350_1..N03R,20230330,1,103N,238 St,2023-03-30 13:54:35.564063,2023-03-30 13:57:42,2023-03-30 14:00:12
078350_1..N03R,20230330,1,101N,Van Cortlandt Park-242 St,2023-03-30 13:54:35.564063,2023-03-30 14:01:42,
078750_1..S03R,20230330,1,133S,Christopher St-Sheridan Sq,2023-03-30 13:54:35.564063,2023-03-30 13:54:47,2023-03-30 13:54:47
078750_1..S03R,20230330,1,134S,Houston St,2023-03-30 13:54:35.564063,2023-03-30 13:56:17,2023-03-30 13:56:17
078750_1..S03R,20230330,1,135S,Canal St,2023-03-30 13:54:35.564063,2023-03-30 13:57:47,2023-03-30 13:57:47
078750_1..S03R,20230330,1,136S,Franklin St,2023-03-30 13:54:35.564063,2023-03-30 13:58:47,2023-03-30 13:58:47
078750_1..S03R,20230330,1,137S,Chambers St,2023-03-30 13:54:35.564063,2023-03-30 14:00:17,2023-03-30 14:00:17
078750_1..S03R,20230330,1,138S,WTC Cortlandt,2023-03-30 13:54:35.564063,2023-03-30 14:01:17,2023-03-30 14:01:17
078750_1..S03R,20230330,1,139S,Rector St,2023-03-30 13:54:35.564063,2023-03-30 14:02:47,2023-03-30 14:02:47
078750_1..S03R,20230330,1,142S,South Ferry,2023-03-30 13:54:35.564063,2023-03-30 14:04:17,
078950_1..N03R,20230330,1,110N,191 St,2023-03-30 13:54:35.564063,2023-03-30 13:54:06,2023-03-30 13:54:06
078950_1..N03R,20230330,1,109N,Dyckman St,2023-03-30 13:54:35.564063,2023-03-30 13:55:06,2023-03-30 13:55:06
078950_1..N03R,20230330,1,108N,207 St,2023-03-30 13:54:35.564063,2023-03-30 13:56:36,2023-03-30 13:56:36
078950_1..N03R,20230330,1,107N,215 St,2023-03-30 13:54:35.564063,2023-03-30 13:58:06,2023-03-30 13:58:06
078950_1..N03R,20230330,1,106N,Marble Hill-225 St,2023-03-30 13:54:35.564063,2023-03-30 13:59:36,2023-03-30 13:59:36
078950_1..N03R,20230330,1,104N,231 St,2023-03-30 13:54:35.564063,2023-03-30 14:01:06,2023-03-30 14:01:06
078950_1..N03R,20230330,1,103N,238 St,2023-03-30 13:54:35.564063,2023-03-30 14:02:36,2023-03-30 14:05:06
078950_1..N03R,20230330,1,101N,Van Cortlandt Park-242 St,2023-03-30 13:54:35.564063,2023-03-30 14:06:36,
079350_1..S03R,20230330,1,128S,34 St-Penn Station,2023-03-30 13:54:35.564063,2023-03-30 13:55:39,2023-03-30 13:55:39
079350_1..S03R,20230330,1,129S,28 St,2023-03-30 13:54:35.564063,2023-03-30 13:57:09,2023-03-30 13:57:09
079350_1..S03R,20230330,1,130S,23 St,2023-03-30 13:54:35.564063,2023-03-30 13:58:09,2023-03-30 13:58:09
079350_1..S03R,20230330,1,131S,18 St,2023-03-30 13:54:35.564063,2023-03-30 13:59:09,2023-03-30 13:59:09
079350_1..S03R,20230330,1,132S,14 St,2023-03-30 13:54:35.564063,2023-03-30 14:00:09,2023-03-30 14:00:09
079350_1..S03R,20230330,1,133S,Christopher St-Sheridan Sq,2023-03-30 13:54:35.564063,2023-03-30 14:01:39,2023-03-30 14:01:39
079350_1..S03R,20230330,1,134S,Houston St,2023-03-30 13:54:35.564063,2023-03-30 14:03:09,2023-03-30 14:03:09
079350_1..S03R,20230330,1,135S,Canal St,2023-03-30 13:54:35.564063,2023-03-30 14:04:39,2023-03-30 14:04:39
079350_1..S03R,20230330,1,136S,Franklin St,2023-03-30 13:54:35.564063,2023-03-30 14:05:39,2023-03-30 14:05:39
079350_1..S03R,20230330,1,137S,Chambers St,2023-03-30 13:54:35.564063,2023-03-30 14:07:09,2023-03-30 14:07:09
079350_1..S03R,20230330,1,138S,WTC Cortlandt,2023-03-30 13:54:35.564063,2023-03-30 14:08:09,2023-03-30 14:08:09
079350_1..S03R,20230330,1,139S,Rector St,2023-03-30 13:54:35.564063,2023-03-30 14:09:39,2023-03-30 14:09:39
079350_1..S03R,20230330,1,142S,South Ferry,2023-03-30 13:54:35.564063,2023-03-30 14:11:09,
079550_1..N03R,20230330,1,113N,157 St,2023-03-30 13:54:35.564063,2023-03-30 13:54:38,2023-03-30 13:54:38
079550_1..N03R,20230330,1,112N,168 St-Washington Hts,2023-03-30 13:54:35.564063,2023-03-30 13:56:08,2023-03-30 13:56:08
079550_1..N03R,20230330,1,111N,181 St,2023-03-30 13:54:35.564063,2023-03-30 13:58:08,2023-03-30 13:58:08
079550_1..N03R,20230330,1,110N,191 St,2023-03-30 13:54:35.564063,2023-03-30 13:59:38,2023-03-30 13:59:38
079550_1..N03R,20230330,1,109N,Dyckman St,2023-03-30 13:54:35.564063,2023-03-30 14:00:38,2023-03-30 14:00:38
079550_1..N03R,20230330,1,108N,207 St,2023-03-30 13:54:35.564063,2023-03-30 14:02:08,2023-03-30 14:02:08
079550_1..N03R,20230330,1,107N,215 St,2023-03-30 13:54:35.564063,2023-03-30 14:03:38,2023-03-30 14:03:38
079550_1..N03R,20230330,1,106N,Marble Hill-225 St,2023-03-30 13:54:35.564063,2023-03-30 14:05:08,2023-03-30 14:05:08
079550_1..N03R,20230330,1,104N,231 St,2023-03-30 13:54:35.564063,2023-03-30 14:06:38,2023-03-30 14:06:38
079550_1..N03R,20230330,1,103N,238 St,2023-03-30 13:54:35.564063,2023-03-30 14:08:08,2023-03-30 14:10:38
079550_1..N03R,20230330,1,101N,Van Cortlandt Park-242 St,2023-03-30 13:54:35.564063,2023-03-30 14:12:08,
079950_1..S03R,20230330,1,124S,66 St-Lincoln Center,2023-03-30 13:54:35.564063,2023-03-30 13:54:31,2023-03-30 13:54:31
079950_1..S03R,20230330,1,125S,59 St-Columbus Circle,2023-03-30 13:54:35.564063,2023-03-30 13:56:01,2023-03-30 13:56:01
079950_1..S03R,20230330,1,126S,50 St,2023-03-30 13:54:35.564063,2023-03-30 13:58:01,2023-03-30 13:58:01
079950_1..S03R,20230330,1,127S,Times Sq-42 St,2023-03-30 13:54:35.564063,2023-03-30 13:59:31,2023-03-30 13:59:31
079950_1..S03R,20230330,1,128S,34 St-Penn Station,2023-03-30 13:54:35.564063,2023-03-30 14:01:01,2023-03-30 14:01:01
079950_1..S03R,20230330,1,129S,28 St,2023-03-30 13:54:35.564063,2023-03-30 14:02:31,2023-03-30 14:02:31
079950_1..S03R,20230330,1,130S,23 St,2023-03-30 13:54:35.564063,2023-03-30 14:03:31,2023-03-30 14:03:31
079950_1..S03R,20230330,1,131S,18 St,2023-03-30 13:54:35.564063,2023-03-30 14:04:31,2023-03-30 14:04:31
079950_1..S03R,20230330,1,132S,14 St,2023-03-30 13:54:35.564063,2023-03-30 14:05:31,2023-03-30 14:05:31
079950_1..S03R,20230330,1,133S,Christopher St-Sheridan Sq,2023-03-30 13:54:35.564063,2023-03-30 14:07:01,2023-03-30 14:07:01
079950_1..S03R,20230330,1,134S,Houston St,2023-03-30 13:54:35.564063,2023-03-30 14:08:31,2023-03-30 14:08:31
079950_1..S03R,20230330,1,135S,Canal St,2023-03-30 13:54:35.564063,2023-03-30 14:10:01,2023-03-30 14:10:01
079950_1..S03R,20230330,1,136S,Franklin St,2023-03-30 13:54:35.564063,2023-03-30 14:11:01,2023-03-30 14:11:01
079950_1..S03R,20230330,1,137S,Chambers St,2023-03-30 13:54:35.564063,2023-03-30 14:12:31,2023-03-30 14:12:31
079950_1..S03R,20230330,1,138S,WTC Cortlandt,2023-03-30 13:54:35.564063,2023-03-30 14:13:31,2023-03-30 14:13:31
079950_1..S03R,20230330,1,139S,Rector St,2023-03-30 13:54:35.564063,2023-03-30 14:15:01,2023-03-30 14:15:01
079950_1..S03R,20230330,1,142S,South Ferry,2023-03-30 13:54:35.564063,2023-03-30 14:16:31,
080150_1..N03R,20230330,1,116N,125 St,2023-03-30 13:54:35.564063,2023-03-30 13:56:14,2023-03-30 13:56:14
080150_1..N03R,20230330,1,115N,137 St-City College,2023-03-30 13:54:35.564063,2023-03-30 13:57:44,2023-03-30 13:57:44
