trip_id,trip_date,line,stop_id,stop_name,update_time,arrival_time,departure_time
078150_1..S03R,20230330,1,142S,South Ferry,2023-03-30 13:59:36.854637,2023-03-30 13:59:17,
078350_1..N03R,20230330,1,101N,Van Cortlandt Park-242 St,2023-03-30 13:59:36.854637,2023-03-30 13:58:38,
078750_1..S03R,20230330,1,137S,Chambers St,2023-03-30 13:59:36.854637,2023-03-30 13:59:47,2023-03-30 13:59:47
078750_1..S03R,20230330,1,138S,WTC Cortlandt,2023-03-30 13:59:36.854637,2023-03-30 14:00:47,2023-03-30 14:00:47
078750_1..S03R,20230330,1,139S,Rector St,2023-03-30 13:59:36.854637,2023-03-30 14:02:17,2023-03-30 14:02:17
078750_1..S03R,20230330,1,142S,South Ferry,2023-03-30 13:59:36.854637,2023-03-30 14:03:47,
078950_1..N03R,20230330,1,107N,215 St,2023-03-30 13:59:36.854637,2023-03-30 13:59:50,2023-03-30 13:59:50
078950_1..N03R,20230330,1,106N,Marble Hill-225 St,2023-03-30 13:59:36.854637,2023-03-30 14:01:20,2023-03-30 14:01:20
078950_1..N03R,20230330,1,104N,231 St,2023-03-30 13:59:36.854637,2023-03-30 14:02:50,2023-03-30 14:02:50
078950_1..N03R,20230330,1,103N,238 St,2023-03-30 13:59:36.854637,2023-03-30 14:04:20,2023-03-30 14:06:50
078950_1..N03R,20230330,1,101N,Van Cortlandt Park-242 St,2023-03-30 13:59:36.854637,2023-03-30 14:08:20,
079350_1..S03R,20230330,1,132S,14 St,2023-03-30 13:59:36.854637,2023-03-30 14:00:17,2023-03-30 14:00:17
079350_1..S03R,20230330,1,133S,Christopher St-Sheridan Sq,2023-03-30 13:59:36.854637,2023-03-30 14:01:47,2023-03-30 14:01:47
079350_1..S03R,20230330,1,134S,Houston St,2023-03-30 13:59:36.854637,2023-03-30 14:03:17,2023-03-30 14:03:17
079350_1..S03R,20230330,1,135S,Canal St,2023-03-30 13:59:36.854637,2023-03-30 14:04:47,2023-03-30 14:04:47
079350_1..S03R,20230330,1,136S,Franklin St,2023-03-30 13:59:36.854637,2023-03-30 14:05:47,2023-03-30 14:05:47
079350_1..S03R,20230330,1,137S,Chambers St,2023-03-30 13:59:36.854637,2023-03-30 14:07:17,2023-03-30 14:07:17
079350_1..S03R,20230330,1,138S,WTC Cortlandt,2023-03-30 13:59:36.854637,2023-03-30 14:08:17,2023-03-30 14:08:17
079350_1..S03R,20230330,1,139S,Rector St,2023-03-30 13:59:36.854637,2023-03-30 14:09:47,2023-03-30 14:09:47
079350_1..S03R,20230330,1,142S,South Ferry,2023-03-30 13:59:36.854637,2023-03-30 14:11:17,
079550_1..N03R,20230330,1,110N,191 St,2023-03-30 13:59:36.854637,2023-03-30 13:59:57,2023-03-30 13:59:57
079550_1..N03R,20230330,1,109N,Dyckman St,2023-03-30 13:59:36.854637,2023-03-30 14:00:57,2023-03-30 14:00:57
079550_1..N03R,20230330,1,108N,207 St,2023-03-30 13:59:36.854637,2023-03-30 14:02:27,2023-03-30 14:02:27
079550_1..N03R,20230330,1,107N,215 St,2023-03-30 13:59:36.854637,2023-03-30 14:03:57,2023-03-30 14:03:57
079550_1..N03R,20230330,1,106N,Marble Hill-225 St,2023-03-30 13:59:36.854637,2023-03-30 14:05:27,2023-03-30 14:05:27
079550_1..N03R,20230330,1,104N,231 St,2023-03-30 13:59:36.854637,2023-03-30 14:06:57,2023-03-30 14:06:57
